location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
501 Lauder College House,,48,,,
711 Lauder College House,,48,,,
1609 Harnwell,,52,,,
233 Hill,,29,,,
807 Rodin,,52,,,
1411 Harnwell,,52,,,
212 Harnwell,,52,,,
212 Harnwell,,52,,,
212 Harnwell,,52,,,
414 Van Pelt,,50,,,
414 Van Pelt,,50,,,
2001 Harnwell,,52,,,
154 Hill,,29,,,
518 English House,,52,,,
1609 Harnwell,16,13,,,
1411 Harnwell,14,12,,,
212 Harnwell,2,6,,,
212 Harnwell,2,6,,,
212 Harnwell,2,6,,,
2001 Harnwell,20,15,,,
807 Rodin,8,36,,,
1211 Harrison,12,22,,,
1211 Harrison,,52,,,
1211 Harrison,12,22,,,
1211 Harrison,,52,,,
1211 Harrison,12,22,,,
1211 Harrison,,52,,,
151 Hill,,29,,,
203 Rodin,2,33,,,
203 Rodin,,52,,,
203 Rodin,2,33,,,
203 Rodin,,52,,,
203 Rodin,2,33,,,
203 Rodin,,52,,,
207 Harnwell,2,6,,,
207 Harnwell,,52,,,
356 Hill,,29,,,
2009 Harnwell,20,15,,,
2009 Harnwell,,52,,,
2009 Harnwell,20,15,,,
2009 Harnwell,,52,,,
2009 Harnwell,20,15,,,
2009 Harnwell,,52,,,
511 English House,,52,,,
222B Stouffer,,52,,,
2107 Harnwell,21,15,,16,
2107 Harnwell,,52,,,
2107 Harnwell,21,15,,16,
2107 Harnwell,,52,,,
1912 Harnwell,19,14,,15,
1912 Harnwell,,52,,,
1912 Harnwell,19,14,,15,
1912 Harnwell,,52,,,
1912 Harnwell,19,14,,15,
1912 Harnwell,,52,,,
402 Mayer Hall,,31,,,
350 Kings Court,,52,,,
226 English House,,52,,,
226 English House,,52,,,
226 English House,,52,,,
226 English House,,52,,,
338 Hill,,29,,,
2403 Harrison,24,28,,,
2403 Harrison,,52,,,
2403 Harrison,24,28,,,
2403 Harrison,,52,,,
,,52,,,
612 Harnwell,6,8,,,
612 Harnwell,,52,,,
366 Hill,,29,,,
,,52,,,
,,52,,,
,,52,,,
2011 Harrison,20,26,,,
2011 Harrison,,52,,,
2011 Harrison,20,26,,,
2011 Harrison,,52,,,
2011 Harrison,20,26,,,
2011 Harrison,,52,,,
1104 Harnwell,11,10,,11,
1104 Harnwell,,52,,,
1104 Harnwell,11,10,,11,
1104 Harnwell,,52,,,
1104 Harnwell,11,10,,11,
1104 Harnwell,,52,,,
349 Kings Court,,52,,,
349 Kings Court,,52,,,
202 Lauder College House,,48,,,
621 Lauder College House,,48,,,
1404 Harnwell,14,12,,,
1404 Harnwell,,52,,,
1404 Harnwell,14,12,,,
1404 Harnwell,,52,,,
1404 Harnwell,14,12,,,
1404 Harnwell,,52,,,
254 Hill,,29,,,
,,52,,,
612 Harnwell,6,8,,,
612 Harnwell,,52,,,
130 Hill,,29,,,
130 Hill,,29,,,
130 Hill,,29,,,
514 Hill,,29,,,
418 English House,,52,,,
413 Van Pelt,,50,,,
346 Kings Court,,52,,,
346 Kings Court,,52,,,
342 Kings Court,,52,,,
342 Kings Court,,52,,,
408 Class of 25,,52,,,
203 Lauder College House,,48,,,
229 Hill,,29,,,
1204 Harnwell,12,11,,,
1204 Harnwell,,52,,,
403 Rodin,4,34,,,
403 Rodin,,52,,,
228 Kings Court,,52,,,
425 English House,,52,,,
1427 Sansom Place East,,45,,,
230 Hill,,29,,,
710 Lauder College House,,48,,,
106A Stouffer,,52,,,
410 Van Pelt,,50,,,
1417 Sansom Place East,,45,,,
